Common Name,Binomial Name,Genus,Species,Sub-Species,Kingdom Name,Nativeness,Book Category,seen wild locally,photo,uncertain,notes
Pine Siskin,Spinus pinus,Spinus,pinus,,Animals,Local Native,Birds,Yes,,No,
Pygmy Nuthatch,Sitta pygmaea,Sitta,pygmaea,,Animals,Local Native,Birds,Yes,,No,
Red Crossbill,Loxia curvirostra,Loxia,curvirostra,,Animals,Local Native,Birds,Yes,,No,
Red-breasted Nuthatch,Sitta canadensis,Sitta,canadensis,,Animals,Local Native,Birds,Yes,,No,
Red-breasted Sapsucker,Sphyrapicus ruber,Sphyrapicus,ruber,,Animals,Local Native,Birds,Yes,Untitled 3 8.png,No,
Red-shouldered Hawk,Buteo lineatus,Buteo,lineatus,,Animals,Local Native,Birds,Yes,,No,
Red-tailed Hawk,Buteo jamaicensis,Buteo,jamaicensis,,Animals,Local Native,Birds,Yes,,No,
Ruby-crowned Kinglet,Corthylio calendula,Corthylio,calendula,,Animals,Local Native,Birds,Yes,,No,
Spotted Towhee,Pipilo maculatus,Pipilo,maculatus,,Animals,Local Native,Birds,Yes,,No,
Steller’s Jay,Cyanositta stelleri,Cyanositta,stelleri,,Animals,Local Native,Birds,Yes,,No,
Townsend’s Warbler,Setophaga townsendi,Setophaga,townsendi,,Animals,Local Native,Birds,Yes,,No,
Turkey Vulture,Cathartes aura,Cathartes,aura,,Animals,Local Native,Birds,Yes,,No,
Varied Thrush,Ixoreus naevius,Ixoreus,naevius,,Animals,Local Native,Birds,Yes,,No,
Warbling Vireo,Vireo gilvus,Vireo,gilvus,,Animals,Local Native,Birds,Yes,,No,
Western Bluebird,Sialia mexicana,Sialia,mexicana,,Animals,Local Native,Birds,Yes,,No,
